問い合わせ番号,発注機関,発注地域,件名,カテゴリ,入札種別,資格ランク,案件登録日,入札日,開札日,落札会社名,落札価格,予定価格,応札企業,リンク
"N17763971","栃木県市町村/宇都宮市","栃木県","【No.302】田原西小学校プールろ過設備改修工事","空調・換気・給排水・衛生機器及び工事","競争・公募","","2023-12-25","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk3MQ=="
"N17763970","栃木県市町村/宇都宮市","栃木県","【No.412】高田沼漏水対策工事","土木工事","競争・公募","","2023-12-25","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk3MA=="
"N17763969","栃木県市町村/宇都宮市","栃木県","【No.411】橋梁維持修繕工事（１２８４－２号橋）","土木工事,橋りょう関連工事","競争・公募","","2023-12-25","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk2OQ=="
"N17763968","栃木県市町村/宇都宮市","栃木県","【No.410】豊郷中央小学校電話設備その他修繕工事","電話・通信設備及び工事","競争・公募","","2023-12-25","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk2OA=="
"N17763967","栃木県市町村/宇都宮市","栃木県","【No.401】サン・アビリティーズ体育室バスケットゴール修繕工事","建築工事","競争・公募","","2023-12-25","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk2Nw=="
"N17763966","栃木県市町村/宇都宮市","栃木県","【No.402】宝木市営住宅１号棟２０１１号室火災修繕工事","建築工事","競争・公募","","2023-12-25","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk2Ng=="
"N17763965","栃木県市町村/宇都宮市","栃木県","【No.303（週休２日制工事（発注者指定型））】平出工業団地公園施設整備工事（便益施設工）","空調・換気・給排水・衛生機器及び工事","競争・公募","","2023-12-25","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk2NQ=="
"N17763964","栃木県市町村/宇都宮市","栃木県","【No.405（週休２日制工事（発注者指定型））】安全施設設置工事（分割９号）","土木工事,道路関連工事","競争・公募","","2023-12-25","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk2NA=="
"N17763963","栃木県市町村/宇都宮市","栃木県","【No.408】橋梁維持修繕工事（猿ケ橋）","土木工事,橋りょう関連工事","競争・公募","","2023-12-25","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk2Mw=="
"N17763962","栃木県市町村/宇都宮市","栃木県","【No.407】橋梁維持修繕工事（御宮橋）","土木工事,橋りょう関連工事","競争・公募","","2023-12-25","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk2Mg=="
"N17763961","栃木県市町村/宇都宮市","栃木県","【No.406】橋梁維持修繕工事（下反町橋）","土木工事,橋りょう関連工事","競争・公募","","2023-12-25","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk2MQ=="
"N17763960","栃木県市町村/宇都宮市","栃木県","【No.403（週休２日制工事（発注者指定型））】整地工事（分割５号）","土木工事","競争・公募","","2023-12-25","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk2MA=="
"N17763959","栃木県市町村/宇都宮市","栃木県","【No.310】消防団豊郷分団第８部解体工事","建物等の解体・撤去,建築工事","競争・公募","","2023-12-25","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk1OQ=="
"N17763958","栃木県市町村/宇都宮市","栃木県","【No.307】競輪場発電機室解体工事","建物等の解体・撤去,建築工事","競争・公募","","2023-12-25","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk1OA=="
"N17763957","栃木県市町村/宇都宮市","栃木県","【No.305】総合コミュニティセンター消火ポンプユニット改修工事","工作・産業・農業・建設用機械器具類,警察・消防・防災関連の機器・システム及び業務,空調・換気・給排水・衛生機器及び工事","競争・公募","","2023-12-25","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk1Nw=="
"N17763956","栃木県市町村/宇都宮市","栃木県","【No.304】茂原健康交流センター特定天井改修空調設備工事","空調・換気・給排水・衛生機器及び工事","競争・公募","","2023-12-25","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk1Ng=="
"N17763955","栃木県市町村/宇都宮市","栃木県","【No.404（週休２日制工事（発注者指定型））】整地工事（分割１０号）","土木工事","競争・公募","","2023-12-25","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk1NQ=="
"N17763954","栃木県市町村/宇都宮市","栃木県","【No.308】消防団上河内分団第５部解体工事","建物等の解体・撤去,建築工事","競争・公募","","2023-12-25","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk1NA=="
